State,Code,Neighbors
Alaska,AK,
Alabama,AL,"FL,GA,MS,TN"
Arkansas,AR,"LA,MO,MS,OK,TN,TX"
Arizona,AZ,"CA,CO,NM,NV,UT"
California,CA,"AZ,NV,OR"
Colorado,CO,"AZ,KS,NE,NM,OK,UT,WY"
Connecticut,CT,"MA,NY,RI"
DistrictOfColumbia,DC,"MD,VA"
Delaware,DE,"MD,NJ,PA"
Florida,FL,"AL,GA"
Georgia,GA,"AL,FL,NC,SC,TN"
Hawaii,HI,
Iowa,IA,"IL,MN,MO,NE,SD,WI"
Idaho,ID,"MT,NV,OR,UT,WA,WY"
Illinois,IL,"IA,IN,KY,MO,WI"
Indiana,IN,"IL,KY,MI,OH"
Kansas,KS,"CO,MO,NE,OK"
Kentucky,KY,"IL,IN,MO,OH,TN,VA,WV"
Louisiana,LA,"AR,MS,TX"
Massachusetts,MA,"CT,NH,NY,RI,VT"
Maryland,MD,"DC,DE,PA,VA,WV"
Maine,ME,NH
Michigan,MI,"IN,OH,WI"
Minnesota,MN,"IA,ND,SD,WI"
Missouri,MO,"AR,IA,IL,KS,KY,NE,OK,TN"
Mississippi,MS,"AL,AR,LA,TN"
Montana,MT,"ID,ND,SD,WY"
NorthCarolina,NC,"GA,SC,TN,VA"
NorthDakota,ND,"MN,MT,SD"
Nebraska,NE,"CO,IA,KS,MO,SD,WY"
NewHampshire,NH,"MA,ME,VT"
NewJersey,NJ,"DE,NY,PA"
NewMexico,NM,"AZ,CO,OK,TX,UT"
Nevada,NV,"AZ,CA,ID,OR,UT"
NewYork,NY,"CT,MA,NJ,PA,VT"
Ohio,OH,"IN,KY,MI,PA,WV"
Oklahoma,OK,"AR,CO,KS,MO,NM,TX"
Oregon,OR,"CA,ID,NV,WA"
Pennsylvania,PA,"DE,MD,NJ,NY,OH,WV"
RhodeIsland,RI,"CT,MA"
SouthCarolina,SC,"GA,NC"
SouthDakota,SD,"IA,MN,MT,ND,NE,WY"
Tennessee,TN,"AL,AR,GA,KY,MO,MS,NC,VA"
Texas,TX,"AR,LA,NM,OK"
Utah,UT,"AZ,CO,ID,NM,NV,WY"
Virginia,VA,"DC,KY,MD,NC,TN,WV"
Vermont,VT,"MA,NH,NY"
Washington,WA,"ID,OR"
Wisconsin,WI,"IA,IL,MI,MN"
WestVirginia,WV,"KY,MD,OH,PA,VA"
Wyoming,WY,"CO,ID,MT,NE,SD,UT"
